"日/月","1","2","3","4","5","6","7","8","9","10","11","12"
"01","14.0","16.0","0.0","13.0","0.0","0.0","0.0","8.0","0.0","0.0","0.0","3.5"
"02","9.5","9.0","0.0","3.0","0.0","0.0","0.0","6.5","0.5","0.0","0.5","0.0"
"03","0.5","2.5","0.0","0.5","0.0","14.0","0.0","6.5","10.0","0.0","10.0","0.5"
"04","0.5","1.0","99.0","0.0","2.0","17.5","1.0","5.5","56.0","0.0","1.0","0.0"
"05","0.0","0.0","48.0","16.5","0.5","15.0","0.5","0.0","0.5","0.0","0.0","0.0"
"06","0.0","0.0","24.0","15.0","0.5","0.5","6.5","0.0","0.0","0.0","0.0","0.0"
"07","0.0","5.5","1.5","0.5","96.0","2.0","25.0","0.0","45.0","0.0","0.0","0.0"
"08","0.0","1.5","0.5","2.5","2.5","0.5","0.0","0.0","0.5","0.0","0.0","0.0"
"09","0.0","1.0","0.0","0.5","16.0","0.5","92.0","0.0","5.0","0.0","0.0","0.0"
"10","0.0","0.0","0.0","2.5","59.0","0.0","17.5","7.0","0.5","0.0","0.0","0.0"
"11","1.0","0.0","0.0","0.0","58.5","1.0","6.5","0.5","0.0","0.0","0.0","0.0"
"12","0.5","53.5","0.0","39.5","14.5","9.5","0.0","1.0","18.5","0.0","4.0","0.0"
"13","0.0","49.0","62.5","3.5","0.0","11.0","0.0","0.0","0.5","0.0","7.5","0.5"
"14","0.0","0.0","4.0","0.0","0.0","0.0","0.5","0.0","22.5","0.0","0.5","0.0"
"15","13.0","0.0","63.0","0.0","0.0","0.0","1.0","0.0","0.5","0.0","0.0","0.0"
"16","0.0","0.0","10.5","0.0","0.0","2.5","0.0","1.0","0.0","0.0","0.0","0.0"
"17","0.0","0.0","1.0","0.0","0.0","41.0","10.5","0.5","0.0","0.0","0.0","0.0"
"18","0.0","0.0","3.0","0.5","0.0","18.0","0.5","4.0","0.5","0.0","0.0","0.0"
"19","2.5","0.0","0.0","22.5","0.0","15.5","5.5","0.5","16.5","0.0","0.5","1.5"
"20","0.0","0.0","0.0","35.5","0.0","1.0","9.5","23.0","6.5","67.5","0.0","0.0"
"21","0.0","1.5","0.0","0.0","0.0","0.0","10.0","4.0","0.5","1.0","0.0","0.0"
"22","0.5","0.0","0.0","0.0","0.0","0.0","0.5","0.0","0.0","1.5","0.0","0.0"
"23","1.5","8.0","0.0","26.5","0.0","0.0","0.0","0.0","5.0","0.0","0.0","0.0"
"24","0.0","1.5","0.0","1.5","15.0","7.5","0.0","0.0","0.5","0.0","0.0","0.0"
"25","0.0","0.0","0.0","8.0","19.5","11.0","130.5","0.0","0.0","0.5","0.0","0.5"
"26","1.0","0.0","0.0","1.0","36.0","0.0","28.5","0.0","0.0","0.5","0.0","4.5"
"27","12.0","0.0","0.0","0.0","0.0","4.5","12.0","45.5","0.0","24.5","0.0","5.5"
"28","0.0","0.0","0.0","35.0","7.5","2.0","70.5","0.0","0.0","30.5","0.0","0.0"
"29","0.0","--","0.0","0.0","87.0","8.5","16.0","0.0","0.0","0.0","0.0","0.0"
"30","0.0","--","17.5","0.0","4.0","0.0","0.0","2.0","0.0","0.0","0.0","0.0"
"31","16.0","--","51.0","--","1.5","--","6.0","7.0","--","4.5","--","0.5"
"總和","72.5","150.0","385.5","227.5","420.0","183.0","450.5","122.5","189.5","130.5","24.0","17.0"
