"日/月","1","2","3"
"01","1.5","5.0","10.5"
"02","0.5","5.0","2.0"
"03","0.0","0.0","6.5"
"04","0.5","0.0","4.5"
"05","0.0","0.0","1.5"
"06","0.5","3.0","0.5"
"07","0.0","1.5","0.5"
"08","0.0","0.5","0.0"
"09","0.0","0.0","0.5"
"10","0.0","0.0","5.5"
"11","0.0","0.0","0.5"
"12","0.0","0.0","0.0"
"13","0.0","0.0","0.0"
"14","0.0","0.0","0.0"
"15","0.0","0.0","--"
"16","1.0","0.0","--"
"17","0.0","0.5","--"
"18","0.0","0.5","--"
"19","0.0","0.0","--"
"20","1.5","1.0","--"
"21","1.0","0.0","--"
"22","1.0","0.0","--"
"23","0.0","0.0","--"
"24","0.0","0.0","--"
"25","0.0","0.5","--"
"26","0.0","0.0","--"
"27","1.5","39.5","--"
"28","0.5","1.0","--"
"29","0.0","--","--"
"30","1.0","--","--"
"31","0.0","--","--"
"總和","10.5","58.0","32.5"
