"日/時","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","總和"
"01","2.5","1.0","2.0","0.5","2.0","1.5","1.5","0.5","0.0","0.5","0.0","0.0","0.0","0.0","0.0","0.5","0.0","0.0","0.0","0.0","0.5","0.0","0.0","0.0","13.0"
"02","0.0","0.0","0.5","1.0","1.0","0.5","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","3.0"
"03","0.0","0.0","0.5","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.5"
"04","0.0","0.0","0.0","0.0","&","&","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"05","0.0","0.0","0.0","0.0","0.0","0.0","2.0","0.0","1.5","0.5","1.0","1.0","1.0","0.5","2.0","0.5","1.0","0.5","2.0","0.5","0.0","1.0","0.0","1.5","16.5"
"06","3.5","5.0","2.0","2.0","1.5","0.0","0.0","0.0","&","0.0","0.5","0.0","0.0","0.5","&","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","15.0"
"07","0.0","0.0","0.0","&","&","&","&","&","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.5","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.5"
"08","0.0","0.0","&","&","&","&","&","&","&","0.0","0.0","0.0","0.0","2.5","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","&","&","2.5"
"09","&","&","&","&","&","&","&","&","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.5","0.0","0.0","0.0","0.5"
"10","0.0","0.0","0.0","0.0","0.0","0.0","0.0","&","0.0","0.5","0.0","1.0","0.5","0.0","&","0.5","0.0","0.0","&","&","&","&","&","&","2.5"
"11","&","&","&","&","&","&","&","&","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"12","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.5","22.5","16.5","39.5"
"13","1.5","1.5","0.0","0.0","0.0","0.5","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","3.5"
"14","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"15","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"16","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"17","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
